name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183007 307402000   -0.107392 1.3226 0.892474
anonymous:0 1603183007 317042000   -0.109441 1.32507 0.892986
anonymous:0 1603183007 336987000   -0.103355 1.32914 0.896671
anonymous:0 1603183007 438972000   -0.114594 1.34447 0.892277
anonymous:0 1603183007 448669000   -0.114294 1.34604 0.891598
anonymous:0 1603183007 458516000   -0.113892 1.34711 0.891188
anonymous:0 1603183007 468787000   -0.113477 1.34885 0.890884
anonymous:0 1603183007 479172000   -0.113224 1.35106 0.890572
anonymous:0 1603183007 489035000   -0.112195 1.35344 0.889064
anonymous:0 1603183007 499268000   -0.111087 1.3555 0.888332
anonymous:0 1603183007 509441000   -0.110666 1.35735 0.887295
anonymous:0 1603183007 519123000   -0.10952 1.35927 0.886179
anonymous:0 1603183007 529621000   -0.108382 1.36171 0.885345
anonymous:0 1603183007 539325000   -0.107641 1.3622 0.884097
anonymous:0 1603183007 549465000   -0.106145 1.36382 0.882396
anonymous:0 1603183007 559641000   -0.0977458 1.3684 0.885805
anonymous:0 1603183007 569330000   -0.104673 1.36812 0.88161
anonymous:0 1603183007 579494000   -0.102211 1.36975 0.879523
anonymous:0 1603183007 589737000   -0.102385 1.37196 0.879147
anonymous:0 1603183007 599607000   -0.0997402 1.37513 0.877045
anonymous:0 1603183007 609818000   -0.0993223 1.37537 0.877019
anonymous:0 1603183007 619448000   -0.0983574 1.37721 0.875881
anonymous:0 1603183007 629457000   -0.0963079 1.37827 0.874518
anonymous:0 1603183007 639505000   -0.0942596 1.37939 0.873564
anonymous:0 1603183007 649334000   -0.0934207 1.38057 0.873289
anonymous:0 1603183007 659923000   -0.0920032 1.38188 0.872189
anonymous:0 1603183007 669453000   -0.0909695 1.38317 0.871815
anonymous:0 1603183007 679656000   -0.0898154 1.38337 0.871569
anonymous:0 1603183007 689682000   -0.0888552 1.38425 0.870949
anonymous:0 1603183007 699826000   -0.0876913 1.38632 0.87054
anonymous:0 1603183007 709928000   -0.0784978 1.38455 0.873187
anonymous:0 1603183007 719577000   -0.0855502 1.38539 0.870417
anonymous:0 1603183007 729478000   -0.0847273 1.3856 0.87039
anonymous:0 1603183007 739347000   -0.0845028 1.38605 0.870359
anonymous:0 1603183007 749420000   -0.0840052 1.38624 0.870402
anonymous:0 1603183007 759194000   -0.0834497 1.38619 0.870562
anonymous:0 1603183007 769336000   -0.0834074 1.38628 0.870761
anonymous:0 1603183007 779331000   -0.0829982 1.38593 0.871005
anonymous:0 1603183007 789318000   -0.0832283 1.38596 0.871176
anonymous:0 1603183007 799162000   -0.0833464 1.38564 0.871201
anonymous:0 1603183007 809253000   -0.0834699 1.38533 0.871424
anonymous:0 1603183007 819275000   -0.0837708 1.38494 0.871814
anonymous:0 1603183007 829323000   -0.0837907 1.38444 0.87207
anonymous:0 1603183007 839079000   -0.0845793 1.38418 0.872102
anonymous:0 1603183007 848981000   -0.0846036 1.38341 0.872686
anonymous:0 1603183007 859054000   -0.0850062 1.38281 0.872881
anonymous:0 1603183007 869196000   -0.0857905 1.38243 0.873311
anonymous:0 1603183007 879296000   -0.0861735 1.38183 0.873767
anonymous:0 1603183007 888897000   -0.0866098 1.38097 0.874035
anonymous:0 1603183007 898823000   -0.087311 1.38035 0.874278
anonymous:0 1603183007 908624000   -0.0877695 1.37966 0.874588
anonymous:0 1603183007 918930000   -0.0883831 1.37898 0.874857
anonymous:0 1603183007 929351000   -0.0887198 1.37805 0.875389
anonymous:0 1603183007 939051000   -0.0894529 1.37742 0.875711
anonymous:0 1603183007 949208000   -0.0898985 1.37672 0.875989
anonymous:0 1603183007 958997000   -0.0905806 1.37629 0.876467
anonymous:0 1603183007 969251000   -0.0910267 1.37561 0.876723
anonymous:0 1603183007 979494000   -0.0913345 1.37492 0.877305
anonymous:0 1603183007 989232000   -0.0919877 1.37455 0.877596
anonymous:0 1603183007 999333000   -0.0922772 1.37397 0.877822
anonymous:0 1603183008 9528000   -0.0924797 1.37338 0.878334
anonymous:0 1603183008 19131000   -0.0932794 1.37309 0.878888
anonymous:0 1603183008 29673000   -0.0939487 1.37272 0.879607
anonymous:0 1603183008 39491000   -0.0947536 1.37243 0.880105
anonymous:0 1603183008 49288000   -0.0955527 1.37248 0.88101
anonymous:0 1603183008 59645000   -0.0968696 1.37551 0.880824
anonymous:0 1603183008 69174000   -0.0989091 1.37602 0.882086
anonymous:0 1603183008 99740000   -0.105489 1.38044 0.886384
anonymous:0 1603183008 129771000   -0.114453 1.38516 0.890877
anonymous:0 1603183008 149860000   -0.122766 1.38754 0.894204
anonymous:0 1603183008 159558000   -0.125914 1.38847 0.896398
anonymous:0 1603183008 179860000   -0.134704 1.39007 0.900437
anonymous:0 1603183008 199043000   -0.142833 1.39015 0.903642
