name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183096 570481000   -0.256372 1.29394 0.893732
anonymous:0 1603183096 580498000   -0.257497 1.28813 0.894961
anonymous:0 1603183096 590535000   -0.257628 1.28372 0.8948
anonymous:0 1603183096 600864000   -0.258292 1.28016 0.894711
anonymous:0 1603183096 610495000   -0.259529 1.27693 0.894676
anonymous:0 1603183096 630973000   -0.261206 1.27203 0.893499
anonymous:0 1603183096 641232000   -0.262271 1.26915 0.893512
anonymous:0 1603183096 651099000   -0.263742 1.26607 0.89355
anonymous:0 1603183096 660988000   -0.265476 1.26503 0.893494
anonymous:0 1603183096 670695000   -0.267378 1.26238 0.894721
anonymous:0 1603183096 680613000   -0.269043 1.26034 0.89478
anonymous:0 1603183096 690535000   -0.270861 1.25881 0.89488
anonymous:0 1603183096 700411000   -0.264881 1.25766 0.897491
anonymous:0 1603183096 711037000   -0.274961 1.25594 0.894038
anonymous:0 1603183096 720762000   -0.277784 1.25539 0.893982
anonymous:0 1603183096 730581000   -0.28003 1.2545 0.893338
anonymous:0 1603183096 740942000   -0.283255 1.25395 0.892301
anonymous:0 1603183096 751195000   -0.285915 1.25349 0.891876
anonymous:0 1603183096 760702000   -0.289119 1.25312 0.890971
anonymous:0 1603183096 770392000   -0.292094 1.25306 0.890041
anonymous:0 1603183096 780617000   -0.295544 1.25321 0.888806
anonymous:0 1603183096 790869000   -0.299214 1.25427 0.887586
anonymous:0 1603183096 801146000   -0.294939 1.2544 0.889473
anonymous:0 1603183096 810768000   -0.306515 1.25488 0.885519
anonymous:0 1603183096 820840000   -0.311098 1.256 0.883734
anonymous:0 1603183096 840756000   -0.319457 1.25901 0.88096
anonymous:0 1603183096 850588000   -0.323287 1.26048 0.879089
anonymous:0 1603183096 860719000   -0.327605 1.26252 0.877887
anonymous:0 1603183096 870799000   -0.332153 1.26448 0.875746
anonymous:0 1603183096 880905000   -0.336082 1.26652 0.873726
anonymous:0 1603183096 890424000   -0.331673 1.27104 0.874078
anonymous:0 1603183096 900185000   -0.344571 1.27088 0.869788
anonymous:0 1603183096 911091000   -0.348942 1.27333 0.867631
anonymous:0 1603183096 920658000   -0.35306 1.2755 0.86593
anonymous:0 1603183096 930749000   -0.356752 1.27767 0.863811
anonymous:0 1603183096 940340000   -0.361428 1.28036 0.861537
anonymous:0 1603183096 960636000   -0.368587 1.2848 0.857781
anonymous:0 1603183096 970578000   -0.372278 1.28712 0.855915
anonymous:0 1603183096 980946000   -0.375763 1.28943 0.854154
anonymous:0 1603183096 991017000   -0.379867 1.29195 0.852559
anonymous:0 1603183097 1682000   -0.382503 1.29477 0.850805
anonymous:0 1603183097 10789000   -0.386563 1.29654 0.849691
anonymous:0 1603183097 30880000   -0.392399 1.30035 0.847299
anonymous:0 1603183097 40826000   -0.394931 1.30183 0.846735
anonymous:0 1603183097 60712000   -0.399917 1.30519 0.844928
anonymous:0 1603183097 70643000   -0.402414 1.30849 0.844206
anonymous:0 1603183097 90732000   -0.398613 1.3102 0.845962
anonymous:0 1603183097 100860000   -0.408906 1.31101 0.843249
anonymous:0 1603183097 120562000   -0.411051 1.31242 0.843364
anonymous:0 1603183097 130746000   -0.412515 1.31325 0.843094
anonymous:0 1603183097 141070000   -0.413411 1.31381 0.843318
anonymous:0 1603183097 150691000   -0.414357 1.31426 0.843384
anonymous:0 1603183097 160449000   -0.414993 1.31445 0.843518
anonymous:0 1603183097 170378000   -0.415191 1.31428 0.843565
anonymous:0 1603183097 180584000   -0.415364 1.31413 0.843702
anonymous:0 1603183097 199601000   -0.415392 1.31501 0.843798
anonymous:0 1603183097 209583000   -0.415531 1.3133 0.844821
anonymous:0 1603183097 228792000   -0.414609 1.31382 0.845036
anonymous:0 1603183097 238428000   -0.41434 1.3114 0.845963
anonymous:0 1603183097 248587000   -0.413816 1.31062 0.846262
anonymous:0 1603183097 258632000   -0.412665 1.30958 0.846879
anonymous:0 1603183097 268716000   -0.40344 1.31129 0.850173
anonymous:0 1603183097 280110000   -0.410845 1.30801 0.848429
anonymous:0 1603183097 289421000   -0.409567 1.30867 0.848859
anonymous:0 1603183097 299258000   -0.408717 1.30675 0.850099
anonymous:0 1603183097 309150000   -0.407088 1.30586 0.85107
anonymous:0 1603183097 318955000   -0.405313 1.30507 0.852316
anonymous:0 1603183097 330082000   -0.403559 1.30425 0.853156
anonymous:0 1603183097 340075000   -0.402311 1.30397 0.854073
anonymous:0 1603183097 350001000   -0.40009 1.30281 0.855419
anonymous:0 1603183097 360046000   -0.398033 1.30189 0.856442
anonymous:0 1603183097 370008000   -0.395846 1.302 0.856489
anonymous:0 1603183097 390590000   -0.391414 1.29928 0.858483
anonymous:0 1603183097 420352000   -0.384259 1.29336 0.860753
anonymous:0 1603183097 450646000   -0.378187 1.28916 0.862504
anonymous:0 1603183097 471187000   -0.374 1.28466 0.863216
anonymous:0 1603183097 481278000   -0.372323 1.2831 0.864198
anonymous:0 1603183097 511043000   -0.367941 1.2783 0.865631
anonymous:0 1603183097 529829000   -0.365141 1.27431 0.867021
anonymous:0 1603183097 540455000   -0.363974 1.27287 0.867761
anonymous:0 1603183097 570759000   -0.353457 1.27122 0.872904
anonymous:0 1603183097 860826000   -0.352113 1.263 0.881355
anonymous:0 1603183098 40789000   -0.349479 1.26814 0.878761
anonymous:0 1603183098 278800000   -0.351844 1.25917 0.877198
anonymous:0 1603183098 288931000   -0.351418 1.25774 0.876927
anonymous:0 1603183098 300465000   -0.351134 1.25681 0.876896
anonymous:0 1603183098 309864000   -0.351319 1.25633 0.876929
anonymous:0 1603183098 320099000   -0.35129 1.25577 0.876955
anonymous:0 1603183098 329881000   -0.351157 1.2553 0.877098
anonymous:0 1603183098 340063000   -0.351225 1.25487 0.877274
anonymous:0 1603183098 350102000   -0.351307 1.25431 0.87735
anonymous:0 1603183098 359882000   -0.351481 1.25388 0.877448
anonymous:0 1603183098 370119000   -0.35164 1.25363 0.877649
