name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603182858 66863000   -0.260198 1.54314 0.897722
anonymous:0 1603182858 77406000   -0.260616 1.54253 0.897939
anonymous:0 1603182858 87196000   -0.260866 1.54206 0.898081
anonymous:0 1603182858 97535000   -0.261058 1.54161 0.89822
anonymous:0 1603182858 106782000   -0.261198 1.54101 0.898226
anonymous:0 1603182858 116693000   -0.261355 1.54055 0.898425
anonymous:0 1603182858 126259000   -0.261365 1.54006 0.898563
anonymous:0 1603182858 136376000   -0.261304 1.53954 0.898652
anonymous:0 1603182858 146060000   -0.261191 1.53902 0.898746
anonymous:0 1603182858 156285000   -0.261042 1.5385 0.898808
anonymous:0 1603182858 165912000   -0.260878 1.53806 0.89891
anonymous:0 1603182858 176653000   -0.26069 1.53757 0.898955
anonymous:0 1603182858 186485000   -0.260431 1.53709 0.899004
anonymous:0 1603182858 196712000   -0.260174 1.5366 0.899111
anonymous:0 1603182858 206941000   -0.259879 1.53611 0.899208
anonymous:0 1603182858 217013000   -0.259653 1.53569 0.899285
anonymous:0 1603182858 227132000   -0.259386 1.53522 0.899318
anonymous:0 1603182858 237616000   -0.259134 1.53485 0.89939
anonymous:0 1603182858 247423000   -0.258842 1.53452 0.899436
anonymous:0 1603182858 257367000   -0.258557 1.53415 0.8995
anonymous:0 1603182858 267740000   -0.258209 1.5338 0.899469
anonymous:0 1603182858 277770000   -0.257719 1.5334 0.899439
anonymous:0 1603182858 287914000   -0.257214 1.53299 0.899349
anonymous:0 1603182858 297477000   -0.25672 1.53263 0.899338
anonymous:0 1603182858 307554000   -0.256211 1.5323 0.899207
anonymous:0 1603182858 317113000   -0.255713 1.53198 0.899207
anonymous:0 1603182858 327241000   -0.255296 1.5317 0.899121
anonymous:0 1603182858 337353000   -0.254866 1.53145 0.899101
anonymous:0 1603182858 347435000   -0.254516 1.53128 0.899045
anonymous:0 1603182858 357668000   -0.254153 1.53112 0.898979
anonymous:0 1603182858 367332000   -0.253871 1.53098 0.898954
anonymous:0 1603182858 377223000   -0.253564 1.53076 0.898849
anonymous:0 1603182858 387065000   -0.253112 1.53058 0.898716
anonymous:0 1603182858 396092000   -0.252717 1.53046 0.898707
anonymous:0 1603182858 405920000   -0.252309 1.53029 0.898517
anonymous:0 1603182858 415630000   -0.252031 1.5302 0.898415
anonymous:0 1603182858 425873000   -0.251727 1.53012 0.898317
anonymous:0 1603182858 435510000   -0.25152 1.5301 0.898252
anonymous:0 1603182858 445733000   -0.251294 1.53006 0.898163
anonymous:0 1603182858 456390000   -0.251135 1.53004 0.89808
anonymous:0 1603182858 466587000   -0.251054 1.53003 0.897976
anonymous:0 1603182858 476741000   -0.251006 1.53004 0.897911
anonymous:0 1603182858 486830000   -0.250974 1.53005 0.897844
anonymous:0 1603182858 497048000   -0.250982 1.53006 0.897742
anonymous:0 1603182858 507374000   -0.251049 1.53008 0.897652
anonymous:0 1603182858 517490000   -0.251131 1.53008 0.897576
anonymous:0 1603182858 527261000   -0.251286 1.53011 0.897512
anonymous:0 1603182858 537037000   -0.251468 1.53009 0.897427
anonymous:0 1603182858 547279000   -0.251667 1.5301 0.897383
anonymous:0 1603182858 557517000   -0.251961 1.53011 0.897414
anonymous:0 1603182858 567578000   -0.252204 1.53014 0.897329
anonymous:0 1603182858 577318000   -0.259788 1.53174 0.893053
anonymous:0 1603182858 587230000   -0.260167 1.53173 0.893026
anonymous:0 1603182858 597457000   -0.260336 1.53163 0.892929
anonymous:0 1603182858 607206000   -0.26076 1.53164 0.892932
anonymous:0 1603182858 617292000   -0.260986 1.53157 0.892882
anonymous:0 1603182858 627170000   -0.260931 1.53134 0.892886
anonymous:0 1603182858 637225000   -0.261476 1.53133 0.892907
anonymous:0 1603182858 646765000   -0.261444 1.53106 0.892944
anonymous:0 1603182858 656094000   -0.262199 1.53111 0.892877
anonymous:0 1603182858 665616000   -0.262328 1.53089 0.892869
anonymous:0 1603182858 675618000   -0.262821 1.5309 0.89302
anonymous:0 1603182858 685257000   -0.262871 1.53057 0.893024
anonymous:0 1603182858 695595000   -0.263415 1.53053 0.892843
anonymous:0 1603182858 705746000   -0.263899 1.53056 0.892586
anonymous:0 1603182858 715921000   -0.263922 1.53023 0.892161
anonymous:0 1603182858 726169000   -0.264101 1.53016 0.892182
anonymous:0 1603182858 736663000   -0.264075 1.52993 0.892062
anonymous:0 1603182858 746875000   -0.264406 1.52993 0.891908
anonymous:0 1603182858 756724000   -0.264328 1.52969 0.891727
anonymous:0 1603182858 766835000   -0.264554 1.52962 0.891511
anonymous:0 1603182858 777311000   -0.264451 1.52939 0.891621
anonymous:0 1603182858 787391000   -0.264769 1.52945 0.891132
anonymous:0 1603182858 797115000   -0.264598 1.52924 0.891209
anonymous:0 1603182858 807299000   -0.264648 1.52912 0.890733
anonymous:0 1603182858 816855000   -0.264539 1.52903 0.890822
anonymous:0 1603182858 827331000   -0.264475 1.52885 0.890492
anonymous:0 1603182858 836976000   -0.264015 1.52846 0.890705
anonymous:0 1603182858 847298000   -0.263902 1.52833 0.890375
anonymous:0 1603182858 857525000   -0.263665 1.52811 0.89019
anonymous:0 1603182858 867305000   -0.263824 1.52809 0.889881
anonymous:0 1603182858 877543000   -0.263482 1.52777 0.889797
anonymous:0 1603182858 887276000   -0.26279 1.52711 0.889708
anonymous:0 1603182858 897215000   -0.262602 1.52681 0.88965
anonymous:0 1603182858 907433000   -0.262169 1.5263 0.889727
anonymous:0 1603182858 917835000   -0.262477 1.5262 0.889676
anonymous:0 1603182858 927373000   -0.261896 1.52555 0.889778
anonymous:0 1603182858 937315000   -0.262067 1.52541 0.889549
anonymous:0 1603182858 946976000   -0.261869 1.52505 0.889826
anonymous:0 1603182858 957120000   -0.261905 1.52485 0.889713
anonymous:0 1603182858 967492000   -0.261792 1.52447 0.889941
anonymous:0 1603182858 977358000   -0.261416 1.52386 0.889775
anonymous:0 1603182858 987384000   -0.253897 1.52195 0.892974
anonymous:0 1603182858 997677000   -0.260374 1.52324 0.88973
anonymous:0 1603182859 7643000   -0.26029 1.52278 0.889731
anonymous:0 1603182859 17817000   -0.260131 1.52233 0.889896
anonymous:0 1603182859 27746000   -0.259938 1.52186 0.890019
anonymous:0 1603182859 37425000   -0.259721 1.52138 0.890228
anonymous:0 1603182859 47558000   -0.259194 1.52072 0.890446
anonymous:0 1603182859 57129000   -0.259171 1.52027 0.890451
anonymous:0 1603182859 67061000   -0.259356 1.52001 0.890698
anonymous:0 1603182859 77881000   -0.259452 1.51963 0.890621
anonymous:0 1603182859 87424000   -0.259545 1.51923 0.890951
anonymous:0 1603182859 97460000   -0.259659 1.51893 0.890905
anonymous:0 1603182859 107551000   -0.259536 1.51853 0.891074
anonymous:0 1603182859 117570000   -0.259085 1.51789 0.891205
anonymous:0 1603182859 127298000   -0.259537 1.51792 0.89132
anonymous:0 1603182859 137602000   -0.259581 1.51758 0.891448
anonymous:0 1603182859 147592000   -0.259477 1.51724 0.891491
anonymous:0 1603182859 157338000   -0.259488 1.51698 0.891784
anonymous:0 1603182859 167525000   -0.259686 1.51688 0.891767
anonymous:0 1603182859 177749000   -0.259702 1.5166 0.892001
anonymous:0 1603182859 187028000   -0.259511 1.51622 0.892114
anonymous:0 1603182859 196874000   -0.260073 1.51622 0.891931
anonymous:0 1603182859 207381000   -0.260344 1.51612 0.891961
anonymous:0 1603182859 216961000   -0.259954 1.51567 0.891826
anonymous:0 1603182859 227451000   -0.260526 1.51577 0.891876
anonymous:0 1603182859 237285000   -0.260719 1.51568 0.892131
anonymous:0 1603182859 247386000   -0.260812 1.51548 0.891863
anonymous:0 1603182859 257161000   -0.26084 1.51529 0.891952
anonymous:0 1603182859 267620000   -0.261113 1.51521 0.8918
anonymous:0 1603182859 277570000   -0.26126 1.51514 0.892057
anonymous:0 1603182859 287329000   -0.261585 1.51498 0.8918
anonymous:0 1603182859 297070000   -0.261833 1.51489 0.891778
anonymous:0 1603182859 307789000   -0.262315 1.51495 0.891734
anonymous:0 1603182859 317453000   -0.26249 1.51474 0.891762
anonymous:0 1603182859 327822000   -0.26258 1.51453 0.89156
anonymous:0 1603182859 337767000   -0.262714 1.51442 0.891634
anonymous:0 1603182859 347458000   -0.263111 1.51441 0.891852
anonymous:0 1603182859 357599000   -0.263247 1.51439 0.891816
anonymous:0 1603182859 367642000   -0.263597 1.51439 0.89188
anonymous:0 1603182859 377409000   -0.263604 1.51403 0.891835
anonymous:0 1603182859 387358000   -0.264128 1.51406 0.891804
anonymous:0 1603182859 397155000   -0.264491 1.51406 0.891586
anonymous:0 1603182859 407226000   -0.264292 1.51371 0.89189
anonymous:0 1603182859 417128000   -0.26425 1.51342 0.892143
anonymous:0 1603182859 426828000   -0.264535 1.51342 0.892244
anonymous:0 1603182859 435910000   -0.264609 1.51319 0.892246
anonymous:0 1603182859 445538000   -0.264453 1.51288 0.892303
anonymous:0 1603182859 455780000   -0.264753 1.51289 0.892432
anonymous:0 1603182859 465452000   -0.2648 1.51275 0.89268
anonymous:0 1603182859 476194000   -0.265011 1.51265 0.892785
anonymous:0 1603182859 486736000   -0.264924 1.51238 0.893003
anonymous:0 1603182859 496831000   -0.264816 1.51222 0.893171
anonymous:0 1603182859 507217000   -0.265277 1.51237 0.893105
anonymous:0 1603182859 517158000   -0.265051 1.51217 0.893211
anonymous:0 1603182859 527281000   -0.264978 1.51198 0.893434
anonymous:0 1603182859 537172000   -0.264884 1.5119 0.893449
anonymous:0 1603182859 547279000   -0.264996 1.5119 0.893514
anonymous:0 1603182859 557612000   -0.264813 1.51178 0.893488
anonymous:0 1603182859 567516000   -0.264799 1.51177 0.893901
anonymous:0 1603182859 577603000   -0.265031 1.51193 0.893713
anonymous:0 1603182859 587529000   -0.264811 1.51172 0.893556
anonymous:0 1603182859 597459000   -0.264898 1.51184 0.893726
anonymous:0 1603182859 607701000   -0.26447 1.51163 0.893901
anonymous:0 1603182859 617342000   -0.265207 1.5121 0.893536
anonymous:0 1603182859 627355000   -0.265383 1.51224 0.893686
anonymous:0 1603182859 637316000   -0.264956 1.51201 0.893761
anonymous:0 1603182859 647214000   -0.265129 1.51215 0.893524
