name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183165 910630000   -0.0453821 0.626196 1.51154
anonymous:0 1603183165 920181000   -0.045608 0.631653 1.5103
anonymous:0 1603183165 929896000   -0.0444979 0.630865 1.51084
anonymous:0 1603183165 941575000   -0.0434357 0.630315 1.51123
anonymous:0 1603183165 951453000   -0.0428177 0.630806 1.51172
anonymous:0 1603183165 961965000   -0.0418963 0.630703 1.51203
anonymous:0 1603183165 981864000   -0.0405851 0.631294 1.51288
anonymous:0 1603183166 2168000   -0.0384615 0.631241 1.51488
anonymous:0 1603183166 12126000   -0.0375219 0.631548 1.51535
anonymous:0 1603183166 21607000   -0.0364094 0.631595 1.51607
anonymous:0 1603183166 41699000   -0.0343424 0.631347 1.5189
anonymous:0 1603183166 51833000   -0.0332218 0.632152 1.51897
anonymous:0 1603183166 61806000   -0.0326511 0.632306 1.51955
anonymous:0 1603183166 71675000   -0.0326092 0.633505 1.52058
anonymous:0 1603183166 81881000   -0.0314735 0.632052 1.5215
anonymous:0 1603183166 92179000   -0.0313224 0.632231 1.52146
anonymous:0 1603183166 101620000   -0.0308267 0.63176 1.52151
anonymous:0 1603183166 122464000   -0.0299713 0.631796 1.52019
anonymous:0 1603183166 141693000   -0.0281067 0.631474 1.51879
anonymous:0 1603183166 151523000   -0.0266728 0.630301 1.5178
anonymous:0 1603183166 171494000   -0.0247546 0.62962 1.51582
anonymous:0 1603183166 181851000   -0.0239044 0.628749 1.51423
anonymous:0 1603183166 221758000   -0.0236109 0.626957 1.50801
anonymous:0 1603183166 242356000   -0.0238068 0.623893 1.50341
anonymous:0 1603183166 251677000   -0.0248144 0.623249 1.50119
anonymous:0 1603183166 281676000   -0.0272706 0.616432 1.49116
anonymous:0 1603183166 591680000   -0.19842 0.555833 1.22616
anonymous:0 1603183166 601765000   -0.206037 0.556995 1.21424
anonymous:0 1603183166 611376000   -0.21417 0.558673 1.20246
anonymous:0 1603183166 621205000   -0.222211 0.560575 1.19081
anonymous:0 1603183166 631630000   -0.230274 0.562966 1.17908
anonymous:0 1603183166 641142000   -0.238156 0.565871 1.16791
anonymous:0 1603183166 651639000   -0.246205 0.569188 1.1567
anonymous:0 1603183166 661447000   -0.253766 0.572707 1.14592
anonymous:0 1603183166 671732000   -0.260985 0.576732 1.13542
anonymous:0 1603183166 681830000   -0.267988 0.581098 1.12532
anonymous:0 1603183166 692095000   -0.274989 0.585714 1.11565
anonymous:0 1603183166 701720000   -0.281566 0.590588 1.10634
anonymous:0 1603183166 711942000   -0.287812 0.595401 1.09754
anonymous:0 1603183166 721884000   -0.293613 0.600595 1.08905
anonymous:0 1603183166 731894000   -0.29949 0.605792 1.08076
anonymous:0 1603183166 741745000   -0.304953 0.611014 1.07297
anonymous:0 1603183166 751635000   -0.310456 0.616535 1.06549
anonymous:0 1603183166 761725000   -0.31537 0.622084 1.05847
anonymous:0 1603183166 771532000   -0.319909 0.627577 1.05192
anonymous:0 1603183166 781704000   -0.324053 0.633128 1.04593
anonymous:0 1603183166 791631000   -0.328012 0.638427 1.04006
anonymous:0 1603183166 801703000   -0.331769 0.643849 1.03483
anonymous:0 1603183166 811909000   -0.335026 0.648875 1.02991
anonymous:0 1603183166 821787000   -0.337835 0.653959 1.02573
anonymous:0 1603183166 831756000   -0.340604 0.658699 1.02162
anonymous:0 1603183166 841827000   -0.343032 0.663257 1.01799
anonymous:0 1603183166 851627000   -0.345269 0.667901 1.0148
anonymous:0 1603183166 861784000   -0.347116 0.672038 1.01177
anonymous:0 1603183166 871407000   -0.348905 0.676005 1.00908
anonymous:0 1603183166 881842000   -0.35049 0.67969 1.0068
anonymous:0 1603183166 892044000   -0.352092 0.682994 1.00461
anonymous:0 1603183166 901427000   -0.353504 0.685564 1.00272
anonymous:0 1603183166 910703000   -0.354795 0.687815 1.00122
anonymous:0 1603183166 920472000   -0.356091 0.68995 0.999998
anonymous:0 1603183166 930524000   -0.357148 0.691716 0.999173
anonymous:0 1603183166 939886000   -0.358041 0.693365 0.99825
anonymous:0 1603183166 949895000   -0.358922 0.697986 0.996519
anonymous:0 1603183166 959853000   -0.359526 0.699422 0.99582
anonymous:0 1603183166 969747000   -0.360095 0.700888 0.995165
anonymous:0 1603183166 979814000   -0.360647 0.702035 0.994751
anonymous:0 1603183166 989419000   -0.361357 0.703239 0.994359
anonymous:0 1603183166 999667000   -0.361981 0.704314 0.994072
anonymous:0 1603183167 10133000   -0.36244 0.704823 0.993957
anonymous:0 1603183167 20485000   -0.362772 0.705437 0.993984
anonymous:0 1603183167 30875000   -0.363131 0.705785 0.994099
anonymous:0 1603183167 41107000   -0.363386 0.705743 0.994318
anonymous:0 1603183167 51279000   -0.363834 0.705914 0.994481
anonymous:0 1603183167 61222000   -0.364057 0.705755 0.994678
anonymous:0 1603183167 71050000   -0.364299 0.705572 0.995028
anonymous:0 1603183167 81352000   -0.36442 0.705267 0.995311
anonymous:0 1603183167 90982000   -0.364592 0.705106 0.995735
anonymous:0 1603183167 101527000   -0.364692 0.704632 0.995929
anonymous:0 1603183167 111391000   -0.364725 0.70446 0.99631
anonymous:0 1603183167 121688000   -0.364916 0.704139 0.996648
anonymous:0 1603183167 131775000   -0.36491 0.703647 0.996925
anonymous:0 1603183167 141455000   -0.364985 0.703079 0.997335
anonymous:0 1603183167 151811000   -0.365115 0.702557 0.997672
anonymous:0 1603183167 161791000   -0.365178 0.702076 0.998144
anonymous:0 1603183167 171733000   -0.365154 0.701635 0.998557
anonymous:0 1603183167 181908000   -0.365238 0.701288 0.998853
anonymous:0 1603183167 192102000   -0.365106 0.700353 0.999316
anonymous:0 1603183167 201765000   -0.36507 0.700017 0.999618
anonymous:0 1603183167 211967000   -0.364996 0.699539 0.999895
anonymous:0 1603183167 221795000   -0.364827 0.69914 1.00014
anonymous:0 1603183167 231640000   -0.364692 0.698497 1.00032
anonymous:0 1603183167 240963000   -0.364503 0.698092 1.00028
anonymous:0 1603183167 250559000   -0.364154 0.69568 1.00102
anonymous:0 1603183167 260890000   -0.363872 0.695345 1.00102
anonymous:0 1603183167 270363000   -0.363477 0.694823 1.00104
anonymous:0 1603183167 280156000   -0.363199 0.693973 1.00092
anonymous:0 1603183167 290211000   -0.3627 0.693491 1.00071
anonymous:0 1603183167 299636000   -0.362181 0.693251 1.00037
anonymous:0 1603183167 310176000   -0.361298 0.695402 0.999139
anonymous:0 1603183167 319879000   -0.360727 0.695379 0.998587
anonymous:0 1603183167 329924000   -0.359945 0.695043 0.997951
anonymous:0 1603183167 341589000   -0.359107 0.694884 0.997085
anonymous:0 1603183167 350962000   -0.358257 0.694659 0.99642
anonymous:0 1603183167 361617000   -0.35728 0.692262 0.996033
anonymous:0 1603183167 371086000   -0.355821 0.692118 0.994889
anonymous:0 1603183167 381325000   -0.354697 0.691869 0.993746
anonymous:0 1603183167 391243000   -0.353286 0.694102 0.992007
anonymous:0 1603183167 401321000   -0.352015 0.694281 0.990978
anonymous:0 1603183167 411660000   -0.350571 0.693685 0.989764
anonymous:0 1603183167 421541000   -0.349099 0.693803 0.988464
anonymous:0 1603183167 431616000   -0.34769 0.693995 0.987108
anonymous:0 1603183168 161789000   -0.358905 0.68059 1.05506
anonymous:0 1603183168 172087000   -0.376781 0.679325 1.07463
anonymous:0 1603183168 181985000   -0.394863 0.67738 1.09664
anonymous:0 1603183168 191519000   -0.413046 0.675803 1.11991
anonymous:0 1603183168 201634000   -0.431248 0.674924 1.14469
anonymous:0 1603183168 211762000   -0.44879 0.67502 1.17084
anonymous:0 1603183168 221851000   -0.465825 0.676345 1.19827
anonymous:0 1603183168 231791000   -0.482495 0.67876 1.22664
anonymous:0 1603183168 241833000   -0.498541 0.682765 1.25595
anonymous:0 1603183168 252143000   -0.512836 0.688524 1.28622
anonymous:0 1603183168 261727000   -0.526039 0.69561 1.31628
anonymous:0 1603183168 271903000   -0.537259 0.704794 1.3462
anonymous:0 1603183168 281795000   -0.546739 0.715066 1.37552
anonymous:0 1603183168 291861000   -0.552964 0.726177 1.40331
anonymous:0 1603183168 691324000   -0.564785 0.654253 1.45239
anonymous:0 1603183168 701436000   -0.559498 0.631337 1.44544
anonymous:0 1603183168 711682000   -0.550465 0.607014 1.4395
anonymous:0 1603183168 721613000   -0.537676 0.581851 1.43429
anonymous:0 1603183168 731605000   -0.521432 0.556282 1.42993
anonymous:0 1603183168 741544000   -0.501215 0.530909 1.42681
anonymous:0 1603183168 751856000   -0.47768 0.505758 1.42494
anonymous:0 1603183168 762350000   -0.450939 0.48171 1.42409
anonymous:0 1603183168 772042000   -0.421665 0.459431 1.42429
anonymous:0 1603183168 781896000   -0.390497 0.43952 1.42534
anonymous:0 1603183168 791891000   -0.358382 0.421984 1.42704
anonymous:0 1603183168 801869000   -0.32573 0.40681 1.42967
anonymous:0 1603183168 811950000   -0.29292 0.393976 1.43321
anonymous:0 1603183168 821794000   -0.271876 0.381519 1.4363
anonymous:0 1603183168 831909000   -0.239722 0.37334 1.4422
anonymous:0 1603183168 841834000   -0.208766 0.36737 1.4496
anonymous:0 1603183168 851802000   -0.179365 0.363318 1.45822
anonymous:0 1603183168 861932000   -0.151942 0.36115 1.46767
anonymous:0 1603183168 871854000   -0.126065 0.360185 1.47829
anonymous:0 1603183168 881884000   -0.10196 0.359891 1.4894
anonymous:0 1603183168 891684000   -0.0801684 0.360088 1.50068
anonymous:0 1603183168 901700000   -0.0600842 0.360269 1.51227
anonymous:0 1603183168 912036000   -0.0420394 0.360442 1.5238
